code,date,rate
GBPUSD,02/03/2020,1.27883
GBPUSD,03/03/2020,1.281928
GBPUSD,04/03/2020,1.284134
GBPUSD,05/03/2020,1.29454
GBPUSD,06/03/2020,1.301372
GBPUSD,07/03/2020,1.3049
GBPUSD,08/03/2020,1.3049
GBPUSD,09/03/2020,1.312715
GBPUSD,10/03/2020,1.291081
GBPUSD,11/03/2020,1.28576
GBPUSD,12/03/2020,1.253667
GBPUSD,13/03/2020,1.235995
GBPUSD,14/03/2020,1.227
GBPUSD,15/03/2020,1.227
GBPUSD,16/03/2020,1.224537
GBPUSD,17/03/2020,1.205066
GBPUSD,18/03/2020,1.154781
GBPUSD,19/03/2020,1.165053
GBPUSD,20/03/2020,1.171111
GBPUSD,21/03/2020,1.165
GBPUSD,22/03/2020,1.165
GBPUSD,23/03/2020,1.147546
GBPUSD,24/03/2020,1.176547
GBPUSD,25/03/2020,1.181838
GBPUSD,26/03/2020,1.217034
GBPUSD,27/03/2020,1.240049
GBPUSD,28/03/2020,1.2455
GBPUSD,29/03/2020,1.2455
GBPUSD,30/03/2020,1.239672
GBPUSD,31/03/2020,1.23978
GBPUSD,01/04/2020,1.239849
GBPUSD,02/04/2020,1.236828
GBPUSD,03/04/2020,1.223391
GBPUSD,06/04/2020,1.230936
GBPUSD,07/04/2020,1.233046
GBPUSD,08/04/2020,1.24088
GBPUSD,09/04/2020,1.244772
GBPUSD,10/04/2020,1.247972
GBPUSD,11/04/2020,1.2447
GBPUSD,12/04/2020,1.2447
GBPUSD,13/04/2020,1.252113
GBPUSD,14/04/2020,1.261249
GBPUSD,15/04/2020,1.253918
GBPUSD,16/04/2020,1.243534
GBPUSD,17/04/2020,1.250313
GBPUSD,18/04/2020,1.25095
GBPUSD,19/04/2020,1.25095
GBPUSD,20/04/2020,1.246455
GBPUSD,21/04/2020,1.225746
GBPUSD,22/04/2020,1.230338
GBPUSD,23/04/2020,1.236621
GBPUSD,24/04/2020,1.23386
GBPUSD,25/04/2020,1.2365
GBPUSD,26/04/2020,1.237
GBPUSD,27/04/2020,1.240664
GBPUSD,28/04/2020,1.243248
GBPUSD,29/04/2020,1.24375
GBPUSD,30/04/2020,1.257284
GBPUSD,01/05/2020,1.251564
GBPUSD,02/05/2020,1.2502
GBPUSD,03/05/2020,1.2502
GBPUSD,04/05/2020,1.243681
GBPUSD,05/05/2020,1.244973
GBPUSD,06/05/2020,1.23588
GBPUSD,07/05/2020,1.235033
GBPUSD,08/05/2020,1.241681
GBPUSD,09/05/2020,1.2406
GBPUSD,10/05/2020,1.2406
GBPUSD,11/05/2020,1.234492
GBPUSD,12/05/2020,1.22909
GBPUSD,13/05/2020,1.223092
GBPUSD,14/05/2020,1.219713
GBPUSD,15/05/2020,1.211534
GBPUSD,18/05/2020,1.21773
GBPUSD,19/05/2020,1.22525
GBPUSD,20/05/2020,1.223354
GBPUSD,21/05/2020,1.22304
GBPUSD,22/05/2020,1.217411
GBPUSD,23/05/2020,1.216605
GBPUSD,24/05/2020,1.216605
GBPUSD,25/05/2020,1.218806
GBPUSD,26/05/2020,1.23373
GBPUSD,27/05/2020,1.223743
GBPUSD,28/05/2020,1.233943
GBPUSD,29/05/2020,1.230088
GBPUSD,30/05/2020,1.23435
USDINR,02/03/2020,72.73
USDINR,03/03/2020,72.96
USDINR,04/03/2020,73.5745
USDINR,05/03/2020,73.635
USDINR,06/03/2020,74.225
USDINR,07/03/2020,74.0053
USDINR,08/03/2020,74.0053
USDINR,09/03/2020,74.385
USDINR,10/03/2020,73.878
USDINR,11/03/2020,74.085
USDINR,12/03/2020,74.605
USDINR,13/03/2020,74.01
USDINR,14/03/2020,73.959
USDINR,15/03/2020,73.959
USDINR,16/03/2020,74.0625
USDINR,17/03/2020,74.18
USDINR,18/03/2020,75.09
USDINR,19/03/2020,74.8
USDINR,20/03/2020,75.475
USDINR,21/03/2020,75.6226
USDINR,22/03/2020,75.6226
USDINR,23/03/2020,76.4125
USDINR,24/03/2020,76.075
USDINR,25/03/2020,75.975
USDINR,26/03/2020,74.8575
USDINR,27/03/2020,75.07
USDINR,28/03/2020,74.876
USDINR,29/03/2020,75.472
USDINR,30/03/2020,75.355
USDINR,31/03/2020,75.445
USDINR,01/04/2020,76.59
USDINR,02/04/2020,76.1725
USDINR,03/04/2020,76.3875
USDINR,05/04/2020,76.419
USDINR,06/04/2020,75.9425
USDINR,07/04/2020,75.5325
USDINR,08/04/2020,75.885
USDINR,09/04/2020,75.8875
USDINR,10/04/2020,76.1475
USDINR,11/04/2020,76.1765
USDINR,12/04/2020,76.1765
USDINR,13/04/2020,76.3425
USDINR,14/04/2020,75.98
USDINR,15/04/2020,76.5225
USDINR,16/04/2020,76.805
USDINR,17/04/2020,76.585
USDINR,18/04/2020,76.501
USDINR,19/04/2020,76.501
USDINR,20/04/2020,76.61
USDINR,21/04/2020,77.051
USDINR,22/04/2020,76.4465
USDINR,23/04/2020,75.9525
USDINR,24/04/2020,76.42
USDINR,25/04/2020,76.302
USDINR,26/04/2020,76.2815
USDINR,27/04/2020,76.198
USDINR,28/04/2020,76.0648
USDINR,29/04/2020,75.33
USDINR,30/04/2020,75.2374
USDINR,01/05/2020,75.865
USDINR,02/05/2020,75.831
USDINR,03/05/2020,75.601
USDINR,04/05/2020,75.6675
USDINR,05/05/2020,75.674
USDINR,06/05/2020,76.04805
USDINR,07/05/2020,75.70755
USDINR,08/05/2020,75.50305
USDINR,09/05/2020,75.504
USDINR,10/05/2020,75.535
USDINR,11/05/2020,75.9258
USDINR,12/05/2020,75.1435
USDINR,13/05/2020,75.3855
USDINR,14/05/2020,75.541
USDINR,15/05/2020,75.822
USDINR,18/05/2020,75.7
USDINR,19/05/2020,75.6687
USDINR,20/05/2020,75.605
USDINR,21/05/2020,75.64005
USDINR,22/05/2020,75.98
USDINR,25/05/2020,75.855
USDINR,26/05/2020,75.552
USDINR,27/05/2020,75.9145
USDINR,28/05/2020,75.6484
USDINR,29/05/2020,75.6197
USDINR,30/05/2020,75.5232
EURUSD,02/03/2020,1.115729
EURUSD,03/03/2020,1.117668
EURUSD,04/03/2020,1.112855
EURUSD,05/03/2020,1.11985
EURUSD,06/03/2020,1.13145
EURUSD,07/03/2020,1.12865
EURUSD,08/03/2020,1.12865
EURUSD,09/03/2020,1.146421
EURUSD,10/03/2020,1.130193
EURUSD,11/03/2020,1.126907
EURUSD,12/03/2020,1.109724
EURUSD,13/03/2020,1.106611
EURUSD,14/03/2020,1.11445
EURUSD,15/03/2020,1.11445
EURUSD,16/03/2020,1.115262
EURUSD,17/03/2020,1.097556
EURUSD,18/03/2020,1.081754
EURUSD,19/03/2020,1.06869
EURUSD,20/03/2020,1.066132
EURUSD,21/03/2020,1.07635
EURUSD,22/03/2020,1.07635
EURUSD,23/03/2020,1.075038
EURUSD,24/03/2020,1.079325
EURUSD,25/03/2020,1.084158
EURUSD,26/03/2020,1.103631
EURUSD,27/03/2020,1.107641
EURUSD,28/03/2020,1.11685
EURUSD,29/03/2020,1.11685
EURUSD,30/03/2020,1.101904
EURUSD,31/03/2020,1.097412
EURUSD,01/04/2020,1.092454
EURUSD,02/04/2020,1.085358
EURUSD,03/04/2020,1.078295
EURUSD,05/04/2020,1.0805
EURUSD,06/04/2020,1.079762
EURUSD,07/04/2020,1.089746
EURUSD,08/04/2020,1.085717
EURUSD,09/04/2020,1.093087
EURUSD,10/04/2020,1.094811
EURUSD,11/04/2020,1.09355
EURUSD,12/04/2020,1.09355
EURUSD,13/04/2020,1.091381
EURUSD,14/04/2020,1.096365
EURUSD,15/04/2020,1.091941
EURUSD,16/04/2020,1.083776
EURUSD,17/04/2020,1.086838
EURUSD,18/04/2020,1.0875
EURUSD,19/04/2020,1.0875
EURUSD,20/04/2020,1.087252
EURUSD,21/04/2020,1.084652
EURUSD,22/04/2020,1.081479
EURUSD,23/04/2020,1.081531
EURUSD,24/04/2020,1.079564
EURUSD,25/04/2020,1.082205
EURUSD,26/04/2020,1.08205
EURUSD,27/04/2020,1.082087
EURUSD,28/04/2020,1.083694
EURUSD,29/04/2020,1.08525
EURUSD,30/04/2020,1.093004
EURUSD,01/05/2020,1.099004
EURUSD,02/05/2020,1.10945
EURUSD,03/05/2020,1.10945
EURUSD,04/05/2020,1.090174
EURUSD,05/05/2020,1.084311
EURUSD,06/05/2020,1.080999
EURUSD,07/05/2020,1.081046
EURUSD,08/05/2020,1.084128
EURUSD,09/05/2020,1.09705
EURUSD,10/05/2020,1.09705
EURUSD,11/05/2020,1.081157
EURUSD,12/05/2020,1.084981
EURUSD,13/05/2020,1.082749
EURUSD,14/05/2020,1.078347
EURUSD,15/05/2020,1.08095
EURUSD,18/05/2020,1.090394
EURUSD,19/05/2020,1.093016
EURUSD,20/05/2020,1.097864
EURUSD,21/05/2020,1.09544
EURUSD,22/05/2020,1.089212
EURUSD,23/05/2020,1.0905
EURUSD,24/05/2020,1.0905
EURUSD,25/05/2020,1.089449
EURUSD,26/05/2020,1.097418
EURUSD,27/05/2020,1.097472
EURUSD,28/05/2020,1.10805
EURUSD,29/05/2020,1.109348
EURUSD,30/05/2020,1.1105
